multi,corresponding
"Dayton-Kettering, OH","Dayton, OH"
"Deltona-Daytona Beach-Ormond Beach, FL","Deltona, FL"
"Denver-Aurora-Lakewood, CO","Denver, CO"
"Des Moines-West Des Moines, IA","Des Moines, IA"
"Detroit-Warren-Dearborn, MI","Detroit, MI"
"Duluth, MN-WI","Duluth, MN"
"Durham-Chapel Hill, NC","Durham, NC"
"Elizabethtown-Fort Knox, KY","Elizabethtown, KY"
"Elkhart-Goshen, IN","Elkhart, IN"
"Eugene-Springfield, OR","Eugene, OR"
"Evansville, IN-KY","Evansville, IN"
"Fargo, ND-MN","Fargo, ND"
"Fayetteville-Springdale-Rogers, AR-MO","Fayetteville, AR"
"Florence-Muscle Shoals, AL","Florence, AL"
"Fort Smith, AR-OK","Fort Smith, AR"
"Grand Forks, ND-MN","Grand Forks, ND"
"Grand Rapids-Kentwood, MI","Grand Rapids, MI"
"Greensboro-High Point, NC","Greensboro, NC"
"Greenville-Anderson, SC","Greenville, SC"
"Gulfport-Biloxi, MS","Gulfport, MS"
"Hagerstown-Martinsburg, MD-WV","Hagerstown, MD"
"Harrisburg-Carlisle, PA","Harrisburg, PA"
"Hartford-East Hartford-Middletown, CT","Hartford, CT"
"Hickory-Lenoir-Morganton, NC","Hickory, NC"
"Hilton Head Island-Bluffton, SC","Hilton Head Island, SC"
"Houma-Thibodaux, LA","Houma, LA"
"Houston-The Woodlands-Sugar Land, TX","Houston, TX"
"Huntington-Ashland, WV-KY-OH","Huntington, WV"
"Huntington-Ashland, WV-KY-OH","Ashland, OH"
"Indianapolis-Carmel-Anderson, IN","Indianapolis, IN"
"Janesville-Beloit, WI","Janesville, WI"
"Kahului-Wailuku-Lahaina, HI","Kahului, HI"
"Kalamazoo-Portage, MI","Kalamazoo, MI"
"Kansas City, MO-KS","Kansas City, MO"
"Kennewick-Richland, WA","Kennewick, WA"
"Killeen-Temple, TX","Killeen, TX"
"Kingsport-Bristol, TN-VA","Kingsport, TN"
"La Crosse-Onalaska, WI-MN","La Crosse, WI"
"Lafayette-West Lafayette, IN","Lafayette, IN"
"Lake Havasu City-Kingman, AZ","Lake Havasu City, AZ"
"Lakeland-Winter Haven, FL","Lakeland, FL"
"Lansing-East Lansing, MI","Lansing, MI"
"Las Vegas-Henderson-Paradise, NV","Las Vegas, NV"
"Lewiston, ID-WA","Lewiston, ID"
"Lewiston-Auburn, ME","Lewiston, ME"
"Lexington-Fayette, KY","Lexington, KY"
"Little Rock-North Little Rock-Conway, AR","Little Rock, AR"
"Logan, UT-ID","Logan, UT"
"Los Angeles-Long Beach-Anaheim, CA","Los Angeles, CA"
"Louisville-Jefferson County, KY-IN","Louisville, KY"
"Macon-Bibb County, GA","Macon, GA"
"Manchester-Nashua, NH","Manchester, NH"
"McAllen-Edinburg-Mission, TX","McAllen, TX"
"Memphis, TN-MS-AR","Memphis, TN"
"Miami-Fort Lauderdale-Pompano Beach, FL","Miami, FL"
"Michigan City-La Porte, IN","Michigan City, IN"
"Milwaukee-Waukesha, WI","Milwaukee, WI"
"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis, MN"
"Mount Vernon-Anacortes, WA","Mount Vernon, WA"
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","Myrtle Beach, SC"
"Naples-Marco Island, FL","Naples, FL"
"Nashville-Davidson--Murfreesboro--Franklin, TN","Nashville, TN"
"New Haven-Milford, CT","New Haven, CT"
"New Orleans-Metairie, LA","New Orleans, LA"
"New York-Newark-Jersey City, NY-NJ-PA","New York, NY"
"North Port-Sarasota-Bradenton, FL","North Port, FL"
"Norwich-New London, CT","Norwich, CT"
"Ogden-Clearfield, UT","Ogden, UT"
"Olympia-Lacey-Tumwater, WA","Olympia, WA"
"Omaha-Council Bluffs, NE-IA","Omaha, NE"
"Orlando-Kissimmee-Sanford, FL","Orlando, FL"
"Oshkosh-Neenah, WI","Oshkosh, WI"
"Oxnard-Thousand Oaks-Ventura, CA","Oxnard, CA"
"Palm Bay-Melbourne-Titusville, FL","Palm Bay, FL"
"Parkersburg-Vienna, WV","Parkersburg, WV"
"Pensacola-Ferry Pass-Brent, FL","Pensacola, FL"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia, PA"
"Phoenix-Mesa-Chandler, AZ","Phoenix, AZ"
"Portland-South Portland, ME","Portland, ME"
"Portland-Vancouver-Hillsboro, OR-WA","Portland, OR"
"Prescott Valley-Prescott, AZ","Prescott Valley, AZ"
"Providence-Warwick, RI-MA","Providence, RI"
"Provo-Orem, UT","Provo, UT"
"Raleigh-Cary, NC","Raleigh, NC"
"Riverside-San Bernardino-Ontario, CA","Riverside, CA"
"Sacramento-Roseville-Folsom, CA","Sacramento, CA"
"Salisbury, MD-DE","Salisbury, MD"
"San Antonio-New Braunfels, TX","San Antonio, TX"
"San Diego-Chula Vista-Carlsbad, CA","San Diego, CA"
"San Francisco-Oakland-Berkeley, CA","San Francisco, CA"
"San Jose-Sunnyvale-Santa Clara, CA","San Jose, CA"
"San Luis Obispo-Paso Robles, CA","San Luis Obispo, CA"
"Santa Cruz-Watsonville, CA","Santa Cruz, CA"
"Santa Maria-Santa Barbara, CA","Santa Maria, CA"
"Santa Rosa-Petaluma, CA","Santa Rosa, CA"
"Scranton--Wilkes-Barre, PA","Scranton, PA"
"Seattle-Tacoma-Bellevue, WA","Seattle, WA"
"Sebastian-Vero Beach, FL","Sebastian, FL"
"Shreveport-Bossier City, LA","Shreveport, LA"
"Sierra Vista-Douglas, AZ","Sierra Vista, AZ"
"Sioux City, IA-NE-SD","Sioux City, IA"
"South Bend-Mishawaka, IN-MI","South Bend, IN"
"Spokane-Spokane Valley, WA","Spokane, WA"
"St. Joseph, MO-KS","St. Joseph, MO"
"St. Louis, MO-IL","St. Louis, MO"
"Tampa-St. Petersburg-Clearwater, FL","Tampa, FL"
"Texarkana, TX-AR","Texarkana, TX"
"Trenton-Princeton, NJ","Trenton, NJ"
"Utica-Rome, NY","Utica, NY"
"Vineland-Bridgeton, NJ","Vineland, NJ"
"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach, VA"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington, DC"
"Waterloo-Cedar Falls, IA","Waterloo, IA"
"Watertown-Fort Drum, NY","Watertown, NY"
"Wausau-Weston, WI","Wausau, WI"
"Weirton-Steubenville, WV-OH","Weirton, WV"
"Wheeling, WV-OH","Wheeling, WV"
"Winchester, VA-WV","Winchester, VA"
"Winston-Salem, NC","Winston, NC"
"Worcester, MA-CT","Worcester, MA"
"York-Hanover, PA","York, PA"
"Youngstown-Warren-Boardman, OH-PA","Youngstown, OH"
"Youngstown-Warren-Boardman, OH-PA","Warren, PA"
